,AGE,FEMALE,RACE,ZIPINC_QRTL,DIED,LOS
25%,68.5,0.0,1.0,2.5,0.0,2.0
50%,68.5,0.0,1.0,2.5,0.0,2.0
75%,68.5,0.0,1.0,2.5,0.0,2.0
count,1.0,1.0,1.0,1.0,1.0,1.0
max,68.5,0.0,1.0,2.5,0.0,2.0
mean,68.5,0.0,1.0,2.5,0.0,2.0
min,68.5,0.0,1.0,2.5,0.0,2.0
std,,,,,,
