,AGE,FEMALE,RACE,ZIPINC_QRTL,DIED,LOS
25%,23.75,0.5,1.0,3.25,0.0,3.75
50%,23.75,0.5,1.0,3.25,0.0,3.75
75%,23.75,0.5,1.0,3.25,0.0,3.75
count,1.0,1.0,1.0,1.0,1.0,1.0
max,23.75,0.5,1.0,3.25,0.0,3.75
mean,23.75,0.5,1.0,3.25,0.0,3.75
min,23.75,0.5,1.0,3.25,0.0,3.75
std,,,,,,
