,AGE,FEMALE,RACE,ZIPINC_QRTL,DIED,LOS
25%,55.77439024390244,0.17073170731707318,1.769736842105263,2.4038461538461537,0.024390243902439025,4.329268292682927
50%,55.81707317073171,0.17073170731707318,1.7763157894736843,2.423076923076923,0.024390243902439025,4.341463414634147
75%,55.859756097560975,0.17073170731707318,1.7828947368421053,2.4423076923076925,0.024390243902439025,4.353658536585366
count,1.048780487804878,1.048780487804878,0.9512195121951219,1.0,1.048780487804878,1.048780487804878
max,55.90243902439025,0.17073170731707318,1.7894736842105263,2.4615384615384617,0.024390243902439025,4.365853658536586
mean,55.81707317073171,0.17073170731707318,1.7763157894736843,2.423076923076923,0.024390243902439025,4.341463414634147
min,55.73170731707317,0.17073170731707318,1.763157894736842,2.3846153846153846,0.024390243902439025,4.317073170731708
std,2.4748737341529163,0.0,0.7071067811865476,1.0606601717798212,0.0,0.7071067811865476
