,AGE,FEMALE,RACE,ZIPINC_QRTL,DIED,LOS
25%,9.726923076923077,0.4269230769230769,1.9533898305084745,2.3203125,0.015384615384615385,21.953846153846154
50%,10.546153846153846,0.43846153846153846,1.9915254237288136,2.359375,0.015384615384615385,22.56923076923077
75%,11.365384615384615,0.45,2.0296610169491527,2.3984375,0.015384615384615385,23.184615384615384
count,1.123076923076923,1.123076923076923,1.0153846153846153,1.0923076923076922,1.123076923076923,1.123076923076923
max,12.184615384615384,0.46153846153846156,2.0677966101694913,2.4375,0.015384615384615385,23.8
mean,10.546153846153846,0.43846153846153846,1.9915254237288136,2.359375,0.015384615384615385,22.56923076923077
min,8.907692307692308,0.4153846153846154,1.9152542372881356,2.28125,0.015384615384615385,21.338461538461537
std,18.826718049091827,0.26516504294495535,0.9091372900969896,1.0101525445522108,0.0,14.14213562373095
