,0.0,1.0,3.0,4.0,6.0,2.0
Total Rows,8.0,,,,,
AGE_min,5.0,,,,,
AGE_25%,20.5,,,,,
AGE_50%,24.5,,,,,
AGE_75%,58.5,,,,,
AGE_max,70.0,,,,,
AGE_std,24.13059705613838,,,,,
LOS_min,2.0,,,,,
LOS_25%,3.0,,,,,
LOS_50%,4.0,,,,,
LOS_75%,5.25,,,,,
LOS_max,7.0,,,,,
LOS_std,1.6690459207925603,,,,,
RACE,0.0,3.0,2.0,2.0,1.0,0.0
ZIPINC_QRTL,0.0,3.0,1.0,3.0,0.0,1.0
DIED,8.0,0.0,0.0,0.0,0.0,0.0
