,AGE,FEMALE,RACE,ZIPINC_QRTL,DIED,LOS
25%,57.56875,0.45625,1.6987179487179487,2.5833333333333335,0.1,10.83125
50%,57.9375,0.4625,1.705128205128205,2.6025641025641026,0.1,10.9125
75%,58.30625,0.46875,1.7115384615384615,2.621794871794872,0.1,10.99375
count,1.05,1.05,1.025,1.025,1.05,1.05
max,58.675,0.475,1.7179487179487178,2.641025641025641,0.1,11.075
mean,57.9375,0.4625,1.705128205128205,2.6025641025641026,0.1,10.9125
min,57.2,0.45,1.6923076923076923,2.5641025641025643,0.1,10.75
std,20.859650045003153,0.3535533905932738,0.3535533905932738,1.0606601717798212,0.0,4.596194077712559
