,AGE,FEMALE,RACE,ZIPINC_QRTL,DIED,LOS
25%,56.30381944444444,0.3854166666666667,1.755281690140845,2.3916083916083917,0.0,5.359375
50%,57.572916666666664,0.4236111111111111,1.8274647887323943,2.5,0.0,5.486111111111111
75%,58.75694444444444,0.453125,1.9049295774647887,2.6136363636363638,0.0,5.789930555555555
count,1.3680555555555556,1.3680555555555556,1.3402777777777777,1.3611111111111112,1.3680555555555556,1.3680555555555556
max,60.15972222222222,0.4861111111111111,1.9859154929577465,2.727272727272727,0.0,6.201388888888889
mean,57.557291666666664,0.4184027777777778,1.8315727699530515,2.504079254079254,0.0,5.62037037037037
min,55.0625,0.3472222222222222,1.6830985915492958,2.2867132867132867,0.0,5.222222222222222
std,11.298222629296506,0.32405478737950716,0.684322839160617,1.0032158646499936,0.0,2.004552578538237
