,AGE,FEMALE,RACE,ZIPINC_QRTL,DIED,LOS
25%,53.142857142857146,0.0,1.0,2.7142857142857144,0.0,3.4285714285714284
50%,53.142857142857146,0.0,1.0,2.7142857142857144,0.0,3.4285714285714284
75%,53.142857142857146,0.0,1.0,2.7142857142857144,0.0,3.4285714285714284
count,1.0,1.0,1.0,1.0,1.0,1.0
max,53.142857142857146,0.0,1.0,2.7142857142857144,0.0,3.4285714285714284
mean,53.142857142857146,0.0,1.0,2.7142857142857144,0.0,3.4285714285714284
min,53.142857142857146,0.0,1.0,2.7142857142857144,0.0,3.4285714285714284
std,,,,,,
