,AGE,FEMALE,RACE,ZIPINC_QRTL,DIED,LOS
25%,4.292056074766355,0.4252336448598131,1.7706185567010309,2.4014423076923075,0.0,4.8107476635514015
50%,4.397196261682243,0.4485981308411215,1.809278350515464,2.456730769230769,0.0,4.9766355140186915
75%,4.829439252336448,0.4672897196261682,1.8891752577319587,2.516826923076923,0.0,5.147196261682243
count,1.2429906542056075,1.2429906542056075,1.1401869158878504,1.205607476635514,1.2429906542056075,1.2429906542056075
max,5.261682242990654,0.48598130841121495,1.9690721649484537,2.576923076923077,0.0,5.317757009345795
mean,4.615264797507788,0.4454828660436137,1.8367697594501717,2.4599358974358974,0.0,4.9797507788162
min,4.186915887850467,0.40186915887850466,1.731958762886598,2.3461538461538463,0.0,4.644859813084112
std,3.5288734873588026,0.2987345747344082,0.7545388397791046,0.7826608006332413,0.0,2.3904732636568347
