,AGE,FEMALE,RACE,ZIPINC_QRTL,DIED,LOS
25%,55.19767441860465,0.4418604651162791,2.0813953488372094,2.172,0.0,2.7790697674418605
50%,56.28294573643411,0.5,2.182170542635659,2.264,0.0,2.887596899224806
75%,57.41472868217054,0.5484496124031008,2.2713178294573644,2.336,0.0,3.0155038759689923
count,1.6356589147286822,1.6356589147286822,1.627906976744186,1.5348837209302326,1.627906976744186,1.6356589147286822
max,58.64341085271318,0.5891472868217055,2.364341085271318,2.416,0.0,3.1782945736434107
mean,56.33404392764857,0.491343669250646,2.170025839793282,2.2543333333333333,0.0,2.9051033591731263
min,54.06201550387597,0.3798449612403101,1.9534883720930232,2.088,0.0,2.6666666666666665
std,7.590296473108274,0.3541541796185757,0.7076244105245465,0.6046831853148554,0.0,0.8446747659296138
