,AGE,FEMALE,RACE,ZIPINC_QRTL,DIED,LOS
25%,43.53333333333333,0.3333333333333333,2.0,1.9333333333333333,0.0,2.15
50%,43.53333333333333,0.3333333333333333,2.0,1.9333333333333333,0.0,2.1666666666666665
75%,43.53333333333333,0.3333333333333333,2.0,1.9333333333333333,0.0,2.183333333333333
count,1.0666666666666667,1.0666666666666667,1.0666666666666667,1.0666666666666667,1.0666666666666667,1.0666666666666667
max,43.53333333333333,0.3333333333333333,2.0,1.9333333333333333,0.0,2.2
mean,43.53333333333333,0.3333333333333333,2.0,1.9333333333333333,0.0,2.1666666666666665
min,43.53333333333333,0.3333333333333333,2.0,1.9333333333333333,0.0,2.1333333333333333
std,0.0,0.0,0.0,0.0,0.0,0.7071067811865476
