,AGE,FEMALE,RACE,ZIPINC_QRTL,DIED,LOS
25%,36.350806451612904,0.39919354838709675,1.868421052631579,2.3524590163934427,0.0,3.657258064516129
50%,36.91129032258065,0.4112903225806452,1.8771929824561404,2.3934426229508197,0.0,3.75
75%,37.608870967741936,0.4314516129032258,1.8859649122807018,2.4344262295081966,0.0,3.842741935483871
count,1.1451612903225807,1.1451612903225807,1.0161290322580645,1.1290322580645162,1.1451612903225807,1.1451612903225807
max,38.306451612903224,0.45161290322580644,1.894736842105263,2.4754098360655736,0.0,3.935483870967742
mean,37.00268817204301,0.41666666666666663,1.8771929824561404,2.3934426229508197,0.0,3.75
min,35.79032258064516,0.3870967741935484,1.8596491228070176,2.3114754098360657,0.0,3.564516129032258
std,12.91069290680916,0.33733382659365857,0.23570226039551587,0.8321067811865476,0.0,1.9811553006146871
