,0.0,1.0,3.0
Total Rows,1.0,,
AGE_min,58.0,,
AGE_25%,58.0,,
AGE_50%,58.0,,
AGE_75%,58.0,,
AGE_max,58.0,,
AGE_std,,,
LOS_min,9.0,,
LOS_25%,9.0,,
LOS_50%,9.0,,
LOS_75%,9.0,,
LOS_max,9.0,,
LOS_std,,,
RACE,0.0,1.0,0.0
ZIPINC_QRTL,0.0,0.0,1.0
DIED,1.0,0.0,0.0
