,0.0,1.0,2.0,3.0
Total Rows,4.0,,,
AGE_min,55.0,,,
AGE_25%,64.0,,,
AGE_50%,67.5,,,
AGE_75%,70.0,,,
AGE_max,76.0,,,
AGE_std,8.660254037844387,,,
LOS_min,2.0,,,
LOS_25%,2.0,,,
LOS_50%,3.0,,,
LOS_75%,4.5,,,
LOS_max,6.0,,,
LOS_std,1.9148542155126762,,,
RACE,0.0,1.0,1.0,2.0
ZIPINC_QRTL,0.0,0.0,2.0,2.0
DIED,4.0,0.0,0.0,0.0
