,AGE,FEMALE,RACE,ZIPINC_QRTL,DIED,LOS
25%,53.421052631578945,0.3684210526315789,1.6666666666666667,2.3157894736842106,0.0,4.276315789473684
50%,53.421052631578945,0.3684210526315789,1.6666666666666667,2.3157894736842106,0.0,4.2894736842105265
75%,53.421052631578945,0.3684210526315789,1.6666666666666667,2.3157894736842106,0.0,4.302631578947368
count,1.0526315789473684,1.0526315789473684,1.0,1.0526315789473684,1.0526315789473684,1.0526315789473684
max,53.421052631578945,0.3684210526315789,1.6666666666666667,2.3157894736842106,0.0,4.315789473684211
mean,53.421052631578945,0.3684210526315789,1.6666666666666667,2.3157894736842106,0.0,4.2894736842105265
min,53.421052631578945,0.3684210526315789,1.6666666666666667,2.3157894736842106,0.0,4.2631578947368425
std,0.0,0.0,0.0,0.0,0.0,0.7071067811865476
