,AGE,FEMALE,RACE,ZIPINC_QRTL,DIED,LOS
25%,60.49444444444445,0.3888888888888889,1.6337209302325582,2.7,0.044444444444444446,6.555555555555555
50%,60.67777777777778,0.4,1.6395348837209303,2.7333333333333334,0.044444444444444446,6.733333333333333
75%,60.861111111111114,0.4111111111111111,1.6453488372093024,2.7666666666666666,0.044444444444444446,6.911111111111111
count,1.0888888888888888,1.0888888888888888,1.0222222222222221,1.0888888888888888,1.0888888888888888,1.0888888888888888
max,61.044444444444444,0.4222222222222222,1.6511627906976745,2.8,0.044444444444444446,7.088888888888889
mean,60.67777777777778,0.4,1.6395348837209303,2.7333333333333334,0.044444444444444446,6.733333333333333
min,60.31111111111111,0.37777777777777777,1.627906976744186,2.6666666666666665,0.044444444444444446,6.377777777777778
std,5.833630944789017,0.3535533905932738,0.23570226039551587,1.0606601717798214,0.0,5.65685424949238
