,0.0,1.0,2.0,3.0,4.0
Total Rows,22.0,,,,
AGE_min,21.0,,,,
AGE_25%,41.5,,,,
AGE_50%,52.5,,,,
AGE_75%,57.75,,,,
AGE_max,73.0,,,,
AGE_std,13.723064920873574,,,,
LOS_min,2.0,,,,
LOS_25%,3.0,,,,
LOS_50%,4.0,,,,
LOS_75%,5.75,,,,
LOS_max,20.0,,,,
LOS_std,4.638676106101396,,,,
RACE,0.0,11.0,3.0,5.0,1.0
ZIPINC_QRTL,0.0,8.0,5.0,4.0,5.0
DIED,22.0,0.0,0.0,0.0,0.0
