,AGE,FEMALE,RACE,ZIPINC_QRTL,DIED,LOS
25%,47.5,0.0,1.0,3.0,0.0,26.5
50%,47.5,0.0,1.0,3.0,0.0,26.5
75%,47.5,0.0,1.0,3.0,0.0,26.5
count,1.0,1.0,0.5,1.0,1.0,1.0
max,47.5,0.0,1.0,3.0,0.0,26.5
mean,47.5,0.0,1.0,3.0,0.0,26.5
min,47.5,0.0,1.0,3.0,0.0,26.5
std,,,,,,
