,AGE,FEMALE,RACE,ZIPINC_QRTL,DIED,LOS
25%,68.0,0.3333333333333333,1.75,2.272727272727273,0.0,5.083333333333333
50%,68.0,0.3333333333333333,1.75,2.272727272727273,0.0,5.083333333333333
75%,68.0,0.3333333333333333,1.75,2.272727272727273,0.0,5.083333333333333
count,1.0,1.0,1.0,0.9166666666666666,1.0,1.0
max,68.0,0.3333333333333333,1.75,2.272727272727273,0.0,5.083333333333333
mean,68.0,0.3333333333333333,1.75,2.272727272727273,0.0,5.083333333333333
min,68.0,0.3333333333333333,1.75,2.272727272727273,0.0,5.083333333333333
std,,,,,,
