,AGE,FEMALE,RACE,ZIPINC_QRTL,DIED,LOS
25%,39.5,0.0,2.5,2.5,0.0,2.5
50%,39.5,0.0,2.5,2.5,0.0,2.5
75%,39.5,0.0,2.5,2.5,0.0,2.5
count,1.0,1.0,1.0,1.0,1.0,1.0
max,39.5,0.0,2.5,2.5,0.0,2.5
mean,39.5,0.0,2.5,2.5,0.0,2.5
min,39.5,0.0,2.5,2.5,0.0,2.5
std,,,,,,
