,AGE,FEMALE,RACE,ZIPINC_QRTL,DIED,LOS
25%,16.0,0.0,4.5,2.0,0.0,2.0
50%,16.0,0.0,4.5,2.0,0.0,2.0
75%,16.0,0.0,4.5,2.0,0.0,2.0
count,1.0,1.0,1.0,1.0,1.0,1.0
max,16.0,0.0,4.5,2.0,0.0,2.0
mean,16.0,0.0,4.5,2.0,0.0,2.0
min,16.0,0.0,4.5,2.0,0.0,2.0
std,,,,,,
