,AGE,FEMALE,RACE,ZIPINC_QRTL,DIED,LOS
25%,27.261194029850746,0.39552238805970147,2.0375,2.626865671641791,0.0,4.794776119402985
50%,27.776119402985074,0.40298507462686567,2.058333333333333,2.6417910447761193,0.0,4.917910447761194
75%,28.291044776119403,0.41044776119402987,2.0791666666666666,2.656716417910448,0.0,5.041044776119403
count,1.1194029850746268,1.1194029850746268,1.0149253731343284,1.1194029850746268,1.1194029850746268,1.1194029850746268
max,28.80597014925373,0.417910447761194,2.1,2.671641791044776,0.0,5.164179104477612
mean,27.776119402985074,0.40298507462686567,2.058333333333333,2.6417910447761193,0.0,4.917910447761194
min,26.746268656716417,0.3880597014925373,2.0166666666666666,2.611940298507463,0.0,4.6716417910447765
std,12.197591975467944,0.1767766952966369,0.4419417382415922,0.3535533905932738,0.0,2.9168154723945086
