,AGE,FEMALE,RACE,ZIPINC_QRTL,DIED,LOS
25%,28.272727272727273,0.36363636363636365,1.7777777777777777,2.8,0.09090909090909091,15.454545454545455
50%,28.272727272727273,0.36363636363636365,1.7777777777777777,2.8,0.09090909090909091,15.454545454545455
75%,28.272727272727273,0.36363636363636365,1.7777777777777777,2.8,0.09090909090909091,15.454545454545455
count,1.0,1.0,0.8181818181818182,0.9090909090909091,1.0,1.0
max,28.272727272727273,0.36363636363636365,1.7777777777777777,2.8,0.09090909090909091,15.454545454545455
mean,28.272727272727273,0.36363636363636365,1.7777777777777777,2.8,0.09090909090909091,15.454545454545455
min,28.272727272727273,0.36363636363636365,1.7777777777777777,2.8,0.09090909090909091,15.454545454545455
std,,,,,,
