,AGE,FEMALE,RACE,ZIPINC_QRTL,DIED,LOS
25%,61.81666666666667,0.25416666666666665,1.3657407407407407,2.419491525423729,0.0,6.004166666666666
50%,62.083333333333336,0.25833333333333336,1.3981481481481481,2.4491525423728815,0.0,6.125
75%,62.35,0.2625,1.4305555555555556,2.4788135593220337,0.0,6.245833333333334
count,1.1,1.1,0.9833333333333333,1.0833333333333333,1.1,1.1
max,62.61666666666667,0.26666666666666666,1.462962962962963,2.5084745762711864,0.0,6.366666666666666
mean,62.083333333333336,0.25833333333333336,1.3981481481481481,2.4491525423728815,0.0,6.125
min,61.55,0.25,1.3333333333333333,2.389830508474576,0.0,5.883333333333334
std,7.542472332656508,0.11785113019775793,0.9899494936611666,0.8249579113843054,0.0,3.4176827757349795
