,0.0,1.0,4.0
Total Rows,2.0,,
AGE_min,45.0,,
AGE_25%,50.25,,
AGE_50%,55.5,,
AGE_75%,60.75,,
AGE_max,66.0,,
AGE_std,14.849242404917497,,
LOS_min,5.0,,
LOS_25%,5.0,,
LOS_50%,5.0,,
LOS_75%,5.0,,
LOS_max,5.0,,
LOS_std,0.0,,
RACE,0.0,1.0,0.0
ZIPINC_QRTL,0.0,0.0,2.0
DIED,2.0,0.0,0.0
