,AGE,FEMALE,RACE,ZIPINC_QRTL,DIED,LOS
25%,57.62222222222222,0.37222222222222223,2.1527777777777777,2.4603658536585367,0.0,2.441666666666667
50%,57.91111111111111,0.37777777777777777,2.1944444444444446,2.481707317073171,0.0,2.4722222222222223
75%,58.2,0.38333333333333336,2.236111111111111,2.5030487804878048,0.0,2.5027777777777778
count,1.1444444444444444,1.1444444444444444,1.1444444444444444,1.011111111111111,1.1444444444444444,1.1444444444444444
max,58.48888888888889,0.3888888888888889,2.2777777777777777,2.524390243902439,0.0,2.533333333333333
mean,57.91111111111111,0.37777777777777777,2.1944444444444446,2.481707317073171,0.0,2.4722222222222223
min,57.333333333333336,0.36666666666666664,2.111111111111111,2.4390243902439024,0.0,2.411111111111111
std,5.65685424949238,0.10878565864408424,0.8158924398306318,0.5499719409228703,0.0,0.5983211225424634
