,AGE,FEMALE,RACE,ZIPINC_QRTL,DIED,LOS
25%,60.175,0.45,1.7135416666666667,2.522222222222222,0.0,3.655
50%,60.35,0.46,1.7395833333333333,2.5555555555555554,0.0,3.71
75%,60.515,0.48,1.765625,2.566666666666667,0.0,3.775
count,1.12,1.12,1.08,1.0,1.12,1.12
max,60.68,0.5,1.7916666666666667,2.577777777777778,0.0,3.84
mean,60.343333333333334,0.4666666666666666,1.7395833333333333,2.5407407407407407,0.0,3.716666666666667
min,60.0,0.44,1.6875,2.488888888888889,0.0,3.6
std,4.3542053029153385,0.3983127663125442,0.7071067811865476,0.6422285251880866,0.0,1.5782972524661747
