,AGE,FEMALE,RACE,ZIPINC_QRTL,DIED,LOS
25%,57.75,0.5,1.5,3.25,0.0,4.25
50%,57.75,0.5,1.5,3.25,0.0,4.25
75%,57.75,0.5,1.5,3.25,0.0,4.25
count,1.0,1.0,1.0,1.0,1.0,1.0
max,57.75,0.5,1.5,3.25,0.0,4.25
mean,57.75,0.5,1.5,3.25,0.0,4.25
min,57.75,0.5,1.5,3.25,0.0,4.25
std,,,,,,
