,AGE,FEMALE,RACE,ZIPINC_QRTL,DIED,LOS
25%,29.333333333333332,0.3333333333333333,3.5,2.3333333333333335,0.0,2.5
50%,29.333333333333332,0.3333333333333333,3.5,2.3333333333333335,0.0,2.5
75%,29.416666666666668,0.3333333333333333,3.5,2.3333333333333335,0.0,2.5
count,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333
max,29.5,0.3333333333333333,3.5,2.3333333333333335,0.0,2.5
mean,29.38888888888889,0.3333333333333333,3.5,2.3333333333333335,0.0,2.5
min,29.333333333333332,0.3333333333333333,3.5,2.3333333333333335,0.0,2.5
std,0.5773502691896257,0.0,0.0,0.0,0.0,0.0
