,AGE,FEMALE,RACE,ZIPINC_QRTL,DIED,LOS
25%,43.6578947368421,0.7361111111111112,2.375,2.526315789473684,0.0,4.2368421052631575
50%,44.21052631578947,0.75,2.4166666666666665,2.5789473684210527,0.0,4.315789473684211
75%,44.76315789473684,0.7638888888888888,2.4583333333333335,2.6315789473684212,0.0,4.394736842105263
count,1.1578947368421053,1.105263157894737,1.0526315789473684,1.1578947368421053,1.1578947368421053,1.1578947368421053
max,45.31578947368421,0.7777777777777778,2.5,2.6842105263157894,0.0,4.473684210526316
mean,44.21052631578947,0.75,2.4166666666666665,2.5789473684210527,0.0,4.315789473684211
min,43.10526315789474,0.7222222222222222,2.3333333333333335,2.473684210526316,0.0,4.157894736842105
std,9.899494936611665,0.23570226039551587,1.0606601717798214,0.9428090415820632,0.0,1.4142135623730951
