,AGE,FEMALE,RACE,ZIPINC_QRTL,DIED,LOS
25%,32.0,1.0,3.0,2.0,0.0,2.0
50%,32.0,1.0,3.0,2.0,0.0,2.0
75%,32.0,1.0,3.0,2.0,0.0,2.0
count,1.0,1.0,1.0,1.0,1.0,1.0
max,32.0,1.0,3.0,2.0,0.0,2.0
mean,32.0,1.0,3.0,2.0,0.0,2.0
min,32.0,1.0,3.0,2.0,0.0,2.0
std,,,,,,
