,0.0,1.0,2.0,3.0,4.0,6.0
Total Rows,176.0,,,,,
AGE_min,1.0,,,,,
AGE_25%,36.0,,,,,
AGE_50%,55.5,,,,,
AGE_75%,65.0,,,,,
AGE_max,87.0,,,,,
AGE_std,21.58333216333213,,,,,
LOS_min,1.0,,,,,
LOS_25%,5.0,,,,,
LOS_50%,5.0,,,,,
LOS_75%,6.0,,,,,
LOS_max,50.0,,,,,
LOS_std,8.349935842354034,,,,,
RACE,0.0,107.0,11.0,16.0,15.0,20.0
ZIPINC_QRTL,0.0,37.0,44.0,58.0,34.0,0.0
DIED,176.0,0.0,0.0,0.0,0.0,0.0
