,0.0,1.0,2.0,6.0,3.0
Total Rows,6.0,,,,
AGE_min,10.0,,,,
AGE_25%,12.0,,,,
AGE_50%,15.5,,,,
AGE_75%,22.75,,,,
AGE_max,47.0,,,,
AGE_std,13.9522996909709,,,,
LOS_min,2.0,,,,
LOS_25%,2.0,,,,
LOS_50%,3.0,,,,
LOS_75%,4.75,,,,
LOS_max,6.0,,,,
LOS_std,1.760681686165901,,,,
RACE,0.0,4.0,1.0,1.0,0.0
ZIPINC_QRTL,0.0,2.0,2.0,0.0,1.0
DIED,6.0,0.0,0.0,0.0,0.0
