,AGE,FEMALE,RACE,ZIPINC_QRTL,DIED,LOS
25%,15.710982658959537,0.1069364161849711,1.44364161849711,1.8511560693641618,0.000722543352601156,4.374277456647399
50%,24.54335260115607,0.31358381502890176,1.9176300578034682,2.4667630057803467,0.001445086705202312,6.932080924855492
75%,37.01589595375722,0.6437861271676301,2.542630057803468,3.0527456647398843,0.010115606936416185,12.960260115606937
count,6.190751445086705,6.187861271676301,5.927745664739884,6.017341040462428,6.187861271676301,6.190751445086705
max,53.604046242774565,0.8901734104046243,3.8034682080924855,3.5809248554913293,0.0953757225433526,27.23699421965318
mean,27.583173696832258,0.39427303976337263,2.138640538585725,2.4554575800365117,0.017034571080813854,10.297383647236648
min,8.791907514450868,0.028901734104046242,1.1242774566473988,1.329479768786127,0.0,2.586705202312139
std,18.80750016237922,0.4500039346156744,1.1731091439453418,1.0076115083427648,0.03967882721370524,10.177699311391796
