,AGE,FEMALE,RACE,ZIPINC_QRTL,DIED,LOS
25%,69.0,0.42857142857142855,2.142857142857143,2.142857142857143,0.14285714285714285,4.857142857142857
50%,69.0,0.42857142857142855,2.142857142857143,2.142857142857143,0.14285714285714285,4.857142857142857
75%,69.0,0.42857142857142855,2.142857142857143,2.142857142857143,0.14285714285714285,4.857142857142857
count,1.0,1.0,1.0,1.0,1.0,1.0
max,69.0,0.42857142857142855,2.142857142857143,2.142857142857143,0.14285714285714285,4.857142857142857
mean,69.0,0.42857142857142855,2.142857142857143,2.142857142857143,0.14285714285714285,4.857142857142857
min,69.0,0.42857142857142855,2.142857142857143,2.142857142857143,0.14285714285714285,4.857142857142857
std,,,,,,
