,0.0,1.0,2.0,3.0,4.0
Total Rows,9.0,,,,
AGE_min,37.0,,,,
AGE_25%,47.0,,,,
AGE_50%,67.0,,,,
AGE_75%,72.0,,,,
AGE_max,87.0,,,,
AGE_std,16.64331697709324,,,,
LOS_min,3.0,,,,
LOS_25%,4.0,,,,
LOS_50%,4.0,,,,
LOS_75%,5.0,,,,
LOS_max,7.0,,,,
LOS_std,1.2360330811826103,,,,
RACE,0.0,5.0,1.0,1.0,1.0
ZIPINC_QRTL,0.0,0.0,1.0,3.0,5.0
DIED,9.0,0.0,0.0,0.0,0.0
