,AGE,FEMALE,RACE,ZIPINC_QRTL,DIED,LOS
25%,49.0,0.4,3.0,2.6,0.0,3.2
50%,49.0,0.4,3.0,2.6,0.0,3.2
75%,49.0,0.4,3.0,2.6,0.0,3.2
count,1.0,1.0,0.8,1.0,1.0,1.0
max,49.0,0.4,3.0,2.6,0.0,3.2
mean,49.0,0.4,3.0,2.6,0.0,3.2
min,49.0,0.4,3.0,2.6,0.0,3.2
std,,,,,,
