,AGE,FEMALE,RACE,ZIPINC_QRTL,DIED,LOS
25%,8.705882352941176,0.5294117647058824,2.2666666666666666,2.7058823529411766,0.0,4.764705882352941
50%,8.705882352941176,0.5294117647058824,2.2666666666666666,2.7058823529411766,0.0,4.764705882352941
75%,8.705882352941176,0.5294117647058824,2.2666666666666666,2.7058823529411766,0.0,4.764705882352941
count,1.0588235294117647,1.0588235294117647,0.9411764705882353,1.0588235294117647,1.0588235294117647,1.0588235294117647
max,8.705882352941176,0.5294117647058824,2.2666666666666666,2.7058823529411766,0.0,4.764705882352941
mean,8.705882352941176,0.5294117647058824,2.2666666666666666,2.7058823529411766,0.0,4.764705882352941
min,8.705882352941176,0.5294117647058824,2.2666666666666666,2.7058823529411766,0.0,4.764705882352941
std,0.0,0.0,0.0,0.0,0.0,0.0
