,AGE,FEMALE,RACE,ZIPINC_QRTL,DIED,LOS
25%,16.872340425531913,0.4574468085106383,1.532258064516129,2.2255434782608696,0.0,3.101063829787234
50%,17.627659574468087,0.4734042553191489,1.5913978494623655,2.2934782608695654,0.0,3.234042553191489
75%,18.39095744680851,0.48936170212765956,1.6451612903225807,2.3505434782608696,0.0,3.3324468085106385
count,1.3085106382978724,1.3085106382978724,1.2765957446808511,1.2872340425531914,1.3085106382978724,1.3085106382978724
max,19.170212765957448,0.5,1.7096774193548387,2.4130434782608696,0.0,3.4361702127659575
mean,17.63386524822695,0.4734042553191489,1.5896057347670252,2.286231884057971,0.0,3.2101063829787235
min,16.106382978723403,0.44680851063829785,1.4731182795698925,2.152173913043478,0.0,2.9574468085106385
std,8.676801238180273,0.1480772779972094,0.6764828454425958,0.6691209182231874,0.0,1.289531540394677
