,0.0,1.0,2.0,3.0
Total Rows,7.0,,,
AGE_min,49.0,,,
AGE_25%,62.5,,,
AGE_50%,68.0,,,
AGE_75%,73.0,,,
AGE_max,74.0,,,
AGE_std,9.055385138137417,,,
LOS_min,1.0,,,
LOS_25%,2.5,,,
LOS_50%,3.0,,,
LOS_75%,3.0,,,
LOS_max,4.0,,,
LOS_std,0.9511897312113419,,,
RACE,0.0,5.0,1.0,0.0
ZIPINC_QRTL,0.0,3.0,2.0,2.0
DIED,7.0,0.0,0.0,0.0
