,0.0,1.0,2.0,3.0,4.0,6.0
Total Rows,17.0,,,,,
AGE_min,32.0,,,,,
AGE_25%,57.0,,,,,
AGE_50%,59.0,,,,,
AGE_75%,62.0,,,,,
AGE_max,88.0,,,,,
AGE_std,14.823719069748439,,,,,
LOS_min,2.0,,,,,
LOS_25%,2.0,,,,,
LOS_50%,3.0,,,,,
LOS_75%,4.0,,,,,
LOS_max,8.0,,,,,
LOS_std,1.6224527546823886,,,,,
RACE,0.0,3.0,4.0,7.0,2.0,1.0
ZIPINC_QRTL,0.0,7.0,4.0,2.0,4.0,0.0
DIED,17.0,0.0,0.0,0.0,0.0,0.0
