,AGE,FEMALE,RACE,ZIPINC_QRTL,DIED,LOS
25%,56.39772727272727,0.38636363636363635,1.8333333333333333,1.9488636363636365,0.0,2.522727272727273
50%,56.79545454545455,0.38636363636363635,1.8571428571428572,1.9886363636363635,0.0,2.590909090909091
75%,57.22727272727273,0.3977272727272727,1.9047619047619047,2.028409090909091,0.0,2.647727272727273
count,1.2045454545454546,1.2045454545454546,1.1590909090909092,1.2045454545454546,1.2045454545454546,1.2045454545454546
max,57.65909090909091,0.4090909090909091,1.9523809523809523,2.0681818181818183,0.0,2.7045454545454546
mean,56.81818181818182,0.3939393939393939,1.873015873015873,1.9886363636363635,0.0,2.5833333333333335
min,56.0,0.38636363636363635,1.8095238095238095,1.9090909090909092,0.0,2.4545454545454546
std,6.229676211361861,0.07216878364870323,0.4978909578906803,0.5669417382415922,0.0,0.8980474351430409
