,AGE,FEMALE,RACE,ZIPINC_QRTL,DIED,LOS
25%,27.0,0.7142857142857143,2.7142857142857144,1.8333333333333333,0.0,6.571428571428571
50%,27.0,0.7142857142857143,2.7142857142857144,1.8333333333333333,0.0,6.571428571428571
75%,27.0,0.7142857142857143,2.7142857142857144,1.8333333333333333,0.0,6.571428571428571
count,1.0,1.0,1.0,0.8571428571428571,1.0,1.0
max,27.0,0.7142857142857143,2.7142857142857144,1.8333333333333333,0.0,6.571428571428571
mean,27.0,0.7142857142857143,2.7142857142857144,1.8333333333333333,0.0,6.571428571428571
min,27.0,0.7142857142857143,2.7142857142857144,1.8333333333333333,0.0,6.571428571428571
std,,,,,,
