,0.0,1.0,2.0,3.0,4.0,6.0
Total Rows,71.0,,,,,
AGE_min,26.0,,,,,
AGE_25%,52.0,,,,,
AGE_50%,61.0,,,,,
AGE_75%,67.5,,,,,
AGE_max,88.0,,,,,
AGE_std,13.881446877196431,,,,,
LOS_min,1.0,,,,,
LOS_25%,3.0,,,,,
LOS_50%,4.0,,,,,
LOS_75%,5.0,,,,,
LOS_max,25.0,,,,,
LOS_std,4.117685271114308,,,,,
RACE,0.0,58.0,5.0,3.0,3.0,2.0
ZIPINC_QRTL,0.0,11.0,15.0,16.0,29.0,0.0
DIED,70.0,1.0,0.0,0.0,0.0,0.0
