,AGE,FEMALE,RACE,ZIPINC_QRTL,DIED,LOS
25%,56.258620689655174,0.4870689655172414,1.5732758620689655,2.258771929824561,0.034482758620689655,5.004310344827586
50%,56.3448275862069,0.49137931034482757,1.5775862068965518,2.2719298245614037,0.034482758620689655,5.043103448275862
75%,56.43103448275862,0.4956896551724138,1.581896551724138,2.2850877192982457,0.034482758620689655,5.081896551724138
count,1.0344827586206897,1.0344827586206897,1.0172413793103448,1.0172413793103448,1.0344827586206897,1.0344827586206897
max,56.51724137931034,0.5,1.5862068965517242,2.2982456140350878,0.034482758620689655,5.120689655172414
mean,56.3448275862069,0.49137931034482757,1.5775862068965518,2.2719298245614037,0.034482758620689655,5.043103448275862
min,56.172413793103445,0.4827586206896552,1.5689655172413792,2.245614035087719,0.034482758620689655,4.9655172413793105
std,7.0710678118654755,0.3535533905932738,0.7071067811865476,1.0606601717798214,0.0,3.181980515339464
