,AGE,FEMALE,RACE,ZIPINC_QRTL,DIED,LOS
25%,62.31172839506173,0.20679012345679013,1.4455128205128205,2.7468354430379747,0.0,3.3333333333333335
50%,62.901234567901234,0.21604938271604937,1.4679487179487178,2.778481012658228,0.0,3.5864197530864197
75%,63.44444444444444,0.23765432098765432,1.5032051282051282,2.8037974683544302,0.0,3.8487654320987654
count,1.2222222222222223,1.2222222222222223,1.1851851851851851,1.1728395061728396,1.2222222222222223,1.2222222222222223
max,64.01234567901234,0.25925925925925924,1.5384615384615385,2.8354430379746836,0.0,4.0246913580246915
mean,62.861111111111114,0.2242798353909465,1.4764957264957266,2.7742616033755274,0.0,3.5936213991769543
min,61.641975308641975,0.19753086419753085,1.4230769230769231,2.7088607594936707,0.0,3.1728395061728394
std,9.071867855421411,0.23400149156706387,0.43603200047750607,0.4941150630041741,0.0,3.222203908501815
