,AGE,FEMALE,RACE,ZIPINC_QRTL,DIED,LOS
25%,41.285714285714285,1.0,1.6666666666666667,2.607142857142857,0.0,2.3214285714285716
50%,43.285714285714285,1.0,1.6666666666666667,2.642857142857143,0.0,2.357142857142857
75%,45.285714285714285,1.0,1.6666666666666667,2.6785714285714284,0.0,2.392857142857143
count,1.1428571428571428,1.1428571428571428,0.8571428571428571,1.1428571428571428,1.1428571428571428,1.1428571428571428
max,47.285714285714285,1.0,1.6666666666666667,2.7142857142857144,0.0,2.4285714285714284
mean,43.285714285714285,1.0,1.6666666666666667,2.642857142857143,0.0,2.357142857142857
min,39.285714285714285,1.0,1.6666666666666667,2.5714285714285716,0.0,2.2857142857142856
std,39.59797974644666,0.0,,0.7071067811865476,0.0,0.7071067811865476
