,AGE,FEMALE,RACE,ZIPINC_QRTL,DIED,LOS
25%,43.8375,0.23125,1.881578947368421,2.63125,0.0,5.09375
50%,44.025,0.2375,1.894736842105263,2.6375,0.0,5.1125
75%,44.2125,0.24375,1.9078947368421053,2.64375,0.0,5.13125
count,1.05,1.05,1.0,1.05,1.05,1.05
max,44.4,0.25,1.9210526315789473,2.65,0.0,5.15
mean,44.025,0.2375,1.894736842105263,2.6375,0.0,5.1125
min,43.65,0.225,1.868421052631579,2.625,0.0,5.075
std,10.606601717798213,0.3535533905932738,0.7071067811865476,0.3535533905932738,0.0,1.0606601717798212
