,0.0,1.0
Total Rows,1.0,
AGE_min,57.0,
AGE_25%,57.0,
AGE_50%,57.0,
AGE_75%,57.0,
AGE_max,57.0,
AGE_std,,
LOS_min,10.0,
LOS_25%,10.0,
LOS_50%,10.0,
LOS_75%,10.0,
LOS_max,10.0,
LOS_std,,
RACE,0.0,1.0
ZIPINC_QRTL,0.0,1.0
DIED,1.0,0.0
