,0.0,1.0,3.0,2.0,4.0
Total Rows,6.0,,,,
AGE_min,5.0,,,,
AGE_25%,15.25,,,,
AGE_50%,16.0,,,,
AGE_75%,19.0,,,,
AGE_max,71.0,,,,
AGE_std,23.642475899674018,,,,
LOS_min,2.0,,,,
LOS_25%,3.25,,,,
LOS_50%,4.0,,,,
LOS_75%,4.75,,,,
LOS_max,5.0,,,,
LOS_std,1.1690451944500122,,,,
RACE,0.0,3.0,3.0,0.0,0.0
ZIPINC_QRTL,0.0,0.0,2.0,1.0,3.0
DIED,6.0,0.0,0.0,0.0,0.0
