,0.0,2.0,3.0,1.0
Total Rows,2.0,,,
AGE_min,2.0,,,
AGE_25%,8.25,,,
AGE_50%,14.5,,,
AGE_75%,20.75,,,
AGE_max,27.0,,,
AGE_std,17.67766952966369,,,
LOS_min,5.0,,,
LOS_25%,5.75,,,
LOS_50%,6.5,,,
LOS_75%,7.25,,,
LOS_max,8.0,,,
LOS_std,2.1213203435596424,,,
RACE,0.0,1.0,1.0,0.0
ZIPINC_QRTL,0.0,1.0,0.0,1.0
DIED,2.0,0.0,0.0,0.0
