,AGE,FEMALE,RACE,ZIPINC_QRTL,DIED,LOS
25%,61.104166666666664,0.2916666666666667,2.1354166666666665,2.4375,0.0,6.5
50%,61.333333333333336,0.2916666666666667,2.1458333333333335,2.4583333333333335,0.0,6.5
75%,61.5625,0.2916666666666667,2.15625,2.4791666666666665,0.0,6.5
count,1.0416666666666667,1.0416666666666667,1.0416666666666667,1.0416666666666667,1.0416666666666667,1.0416666666666667
max,61.791666666666664,0.2916666666666667,2.1666666666666665,2.5,0.0,6.5
mean,61.333333333333336,0.2916666666666667,2.1458333333333335,2.4583333333333335,0.0,6.5
min,60.875,0.2916666666666667,2.125,2.4166666666666665,0.0,6.5
std,15.556349186104045,0.0,0.7071067811865476,1.4142135623730951,0.0,0.0
